name,position,projection,salary
Wesley Johnson,SG/SF,17.530807,8000
Jodie Meeks,SG,16.181362,8000
Robert Sacre,C,10.618242,5500
Shawne Williams,SF,12.099085,8000
Nick Young,SG,19.633398,9200
Quincy Acy,PF,8.676841,6000
Ray Allen,SG,15.702689,7500
Chris Andersen,PF/C,13.715685,7500
Shane Battier,SF,8.539909,5500
Chris Bosh,PF,24.004236,10100
Mario Chalmers,PG,18.758837,8700
Norris Cole,PG,14.184420,7500
DeMarcus Cousins,C,43.033811,17200
Jimmer Fredette,PG/SG,9.364096,5000
Rudy Gay,SF,33.173988,12000
Aaron Gray,C,4.990530,5000
Udonis Haslem,PF,5.004980,5000
LeBron James,SF,37.800960,18800
Rashard Lewis,SF,9.900100,7500
Ray McCallum,None,0.457399,-1
Ben McLemore,SG,16.019819,8000
Hamady NDiaye,C,2.464534,5000
Travis Outlaw,SF,11.293940,8000
Isaiah Thomas,PG,32.582319,12500
Jason Thompson,PF/C,16.038857,8000
Dwyane Wade,SG,31.577303,13200
Derrick Williams,SF,14.707182,7500
Alan Anderson,SG/SF,15.661698,7500
Andray Blatche,PF,22.019052,10200
Reggie Evans,PF,7.325580,5000
Kevin Garnett,PF,20.056403,8100
Joe Johnson,SG/SF,27.124947,12600
Shaun Livingston,PG,16.066073,5500
Brook Lopez,C,33.918116,12000
Paul Pierce,SF,22.588586,9900
Mirza Teletovic,PF,11.287923,7500
Deron Williams,PG,27.136982,13800
Lavoy Allen,PF/C,13.168751,6200
Alan Anderson,SG/SF,18.773809,7500
James Anderson,SG/SF,18.114430,8000
Andray Blatche,PF,24.712912,10200
Lorenzo Brown,PG,8.030353,6000
Brandon Davies,PF,6.292270,6000
Kevin Garnett,PF,22.358544,8100
Spencer Hawes,C,30.642372,12200
Joe Johnson,SG/SF,32.940643,12600
Shaun Livingston,PG,19.915747,5500
Paul Pierce,SF,25.066553,9900
Mason Plumlee,PF/C,13.195680,6000
Tornike Shengelia,SF,4.530333,5000
Tyshawn Taylor,PG,11.969536,5000
Mirza Teletovic,PF,12.560574,7500
Hollis Thompson,SF,11.292817,8000
Evan Turner,SF,32.172770,11000
Deron Williams,PG,33.805690,13800
Elliot Williams,SG,5.345821,6000
Tony Wroten,SG,24.043920,10300
Thaddeus Young,PF,25.809200,10300
