Position,Name,Team,Opponent,Game Time,Avg Fantasy Points,Price,Starter,Injury Status
SG,Eric Gordon,NOP,NOP @ DAL, 8:00 PM,24.6,8000,"",
SG,Kent Bazemore,LAL,LAL @ MEM, 8:00 PM,5.7,8000,"",
PG,Ish Smith,PHO,PHO @ UTA, 9:00 PM,10.7,8000,"",
SF,Richard Jefferson,UTA,UTA vs PHO, 9:00 PM,16.8,8000,"",
PF,Arnett Moultrie,PHI,PHI vs ORL, 7:00 PM,11.7,8000,"",
SG,E'Twaun Moore,ORL,ORL @ PHI, 7:00 PM,11.6,8000,"",
SF,Andrei Kirilenko,BKN,BKN @ POR,10:00 PM,14.0,8000,"",
SF,Gerald Wallace,BOS,BOS vs ATL, 7:30 PM,14.5,8000,"",
PG,Jerryd Bayless,BOS,BOS vs ATL, 7:30 PM,15.5,8000,"",
SF,Dorell Wright,POR,POR vs BKN,10:00 PM,9.1,8000,"",
PG,Shelvin Mack,ATL,ATL @ BOS, 7:30 PM,16.3,8000,"",
PG,Mo Williams,POR,POR vs BKN,10:00 PM,18.5,8000,"",
PF,Kris Humphries,BOS,BOS vs ATL, 7:30 PM,17.9,8000,"",
PF-C,Al Horford,ATL,ATL @ BOS, 7:30 PM,35.6,8000,"",OUT
SF,Tony Snell,CHI,CHI vs GSW, 8:00 PM,10.4,8000,"",
SF,Draymond Green,GSW,GSW @ CHI, 8:00 PM,16.6,8000,"",
PG-SG,Kirk Hinrich,CHI,CHI vs GSW, 8:00 PM,19.7,8000,"",
PG,Derrick Rose,CHI,CHI vs GSW, 8:00 PM,24.2,8000,"",OUT
PF,Boris Diaw,SAS,SAS vs DET, 8:30 PM,18.5,8000,"",
SG-SF,James Anderson,PHI,PHI vs ORL, 7:00 PM,18.6,8000,"",
PG-SG,Jarrett Jack,CLE,CLE @ OKC, 8:00 PM,17.9,8000,"",
PG,Shaun Livingston,BKN,BKN @ POR,10:00 PM,17.9,8000,"",OUT
SF,Tayshaun Prince,MEM,MEM vs LAL, 8:00 PM,13.3,8000,"",
C,Alexis Ajinca,NOP,NOP @ DAL, 8:00 PM,12.1,8000,"",
SG-SF,Wesley Johnson,LAL,LAL @ MEM, 8:00 PM,19.1,8000,"",
SG,Courtney Lee,MEM,MEM vs LAL, 8:00 PM,16.4,8000,"",
PF-C,Tyler Zeller,CLE,CLE @ OKC, 8:00 PM,11.2,8000,"",
PF-C,Jason Smith,NOP,NOP @ DAL, 8:00 PM,20.1,7900,"",OUT
C,Chris Kaman,LAL,LAL @ MEM, 8:00 PM,20.3,7800,"",
C,Samuel Dalembert,DAL,DAL vs NOP, 8:00 PM,17.3,7700,"",
PF-C,Miles Plumlee,PHO,PHO @ UTA, 9:00 PM,22.9,7700,"",
SG,CJ Miles,CLE,CLE @ OKC, 8:00 PM,15.8,7500,"",OUT
SF,Moe Harkless,ORL,ORL @ PHI, 7:00 PM,14.0,7500,"",
PF,Kyle O'Quinn,ORL,ORL @ PHI, 7:00 PM,13.4,7500,"",
SG-SF,Hollis Thompson,PHI,PHI vs ORL, 7:00 PM,12.4,7500,"",
SG,Elliot Williams,PHI,PHI vs ORL, 7:00 PM,8.0,7500,"",
C,Byron Mullens,PHI,PHI vs ORL, 7:00 PM,4.8,7500,"",
PG-SG,Rodney Stuckey,DET,DET @ SAS, 8:30 PM,19.8,7500,"",
C,Tiago Splitter,SAS,SAS vs DET, 8:30 PM,18.3,7500,"",
PF-C,Matt Bonner,SAS,SAS vs DET, 8:30 PM,7.2,7500,"",
SF,Al-Farouq Aminu,NOP,NOP @ DAL, 8:00 PM,20.0,7500,"",
SG,Austin Rivers,NOP,NOP @ DAL, 8:00 PM,11.0,7500,"",
PF,Ryan Kelly,LAL,LAL @ MEM, 8:00 PM,13.7,7500,"",
SG,Thabo Sefolosha,OKC,OKC vs CLE, 8:00 PM,16.1,7500,"",
PG,Steve Nash,LAL,LAL @ MEM, 8:00 PM,15.7,7500,"",OUT
PG,Jordan Farmar,LAL,LAL @ MEM, 8:00 PM,19.4,7500,"",
SF,Harrison Barnes,GSW,GSW @ CHI, 8:00 PM,18.3,7500,"",
C,Pero Antic,ATL,ATL @ BOS, 7:30 PM,12.5,7500,"",OUT
SG-SF,Chris Johnson,BOS,BOS vs ATL, 7:30 PM,12.0,7500,"",
PF,Mirza Teletovic,BKN,BKN @ POR,10:00 PM,14.9,7500,"",
PG,Steve Blake,GSW,GSW @ CHI, 8:00 PM,24.1,7400,"",
SG,Jordan Crawford,GSW,GSW @ CHI, 8:00 PM,21.7,7200,"",
PF-C,Marreese Speights,GSW,GSW @ CHI, 8:00 PM,11.0,7000,"",
SF,Jae Crowder,DAL,DAL vs NOP, 8:00 PM,11.1,7000,"",
SG-SF,Nick Young,LAL,LAL @ MEM, 8:00 PM,22.4,6900,"",OUT
SF,James Johnson,MEM,MEM vs LAL, 8:00 PM,20.8,6800,"",
PF,Kevin Garnett,BKN,BKN @ POR,10:00 PM,19.5,6800,"",OUT
PF,Marcus Morris,PHO,PHO @ UTA, 9:00 PM,17.8,6800,"",
PF-C,Brandan Wright,DAL,DAL vs NOP, 8:00 PM,17.6,6700,"",
PG,Devin Harris,DAL,DAL vs NOP, 8:00 PM,16.4,6700,"",
SF-PF,Jeremy Evans,UTA,UTA vs PHO, 9:00 PM,17.2,6600,"",
PG,Darren Collison,LAC,LAC vs HOU,10:30 PM,19.0,6500,"",
SG-SF,Xavier Henry,LAL,LAL @ MEM, 8:00 PM,16.4,6400,"",OUT
C,Robert Sacre,LAL,LAL @ MEM, 8:00 PM,11.1,6000,"",
PF,Perry Jones,OKC,OKC vs CLE, 8:00 PM,7.2,6000,"",
SF,Mike Miller,MEM,MEM vs LAL, 8:00 PM,12.2,6000,"",
SG,Anthony Morrow,NOP,NOP @ DAL, 8:00 PM,9.8,6000,"",
SG-SF,Alan Anderson,BKN,BKN @ POR,10:00 PM,13.7,6000,"",
PG,Derek Fisher,OKC,OKC vs CLE, 8:00 PM,10.0,6000,"",
PF-C,Donatas Motiejunas,HOU,HOU @ LAC,10:30 PM,10.7,6000,"",
C,Omer Asik,HOU,HOU @ LAC,10:30 PM,13.3,6000,"",
SF,Cartier Martin,ATL,ATL @ BOS, 7:30 PM,9.3,6000,"",
SF,Victor Claver,POR,POR vs BKN,10:00 PM,4.2,6000,"",
SG,MarShon Brooks,LAL,LAL @ MEM, 8:00 PM,6.8,6000,"",
SG,Jeremy Lamb,OKC,OKC vs CLE, 8:00 PM,17.1,6000,"",
PF-C,Mason Plumlee,BKN,BKN @ POR,10:00 PM,13.1,5800,"",
C,Kosta Koufos,MEM,MEM vs LAL, 8:00 PM,16.8,5700,"",
PF-C,DeJuan Blair,DAL,DAL vs NOP, 8:00 PM,17.0,5700,"",
SF,Luke Babbitt,NOP,NOP @ DAL, 8:00 PM,12.7,5500,"",
C,Greg Stiemsma,NOP,NOP @ DAL, 8:00 PM,11.3,5500,"",
SG,Wayne Ellington,DAL,DAL vs NOP, 8:00 PM,6.1,5500,"",
SG,Nick Calathes,MEM,MEM vs LAL, 8:00 PM,11.8,5500,"",
SG,Shannon Brown,SAS,SAS vs DET, 8:30 PM,4.1,5500,"",
PF-C,Aron Baynes,SAS,SAS vs DET, 8:30 PM,7.5,5500,"",
PF-C,Nick Collison,OKC,OKC vs CLE, 8:00 PM,11.5,5500,"",
C,Steven Adams,OKC,OKC vs CLE, 8:00 PM,10.8,5500,"",
SF,Anthony Bennett,CLE,CLE @ OKC, 8:00 PM,8.6,5500,"",
PG,Matthew Dellavedova,CLE,CLE @ OKC, 8:00 PM,8.8,5500,"",
