Position,Name,Team,Opponent,Game Time,Avg Fantasy Points,Price,Starter,Injury Status
SG-SF,James Jones,MIA,MIA vs MEM, 7:30 PM,4.5,5000,"",
SG,Jamaal Franklin,MEM,MEM @ MIA, 7:30 PM,3.5,5000,"",
C,Justin Hamilton,MIA,MIA vs MEM, 7:30 PM,1.0,5000,"",
PG,Jorge Gutierrez,BKN,BKN vs BOS, 7:30 PM,3.9,5000,"",
PG,Marquis Teague,BKN,BKN vs BOS, 7:30 PM,6.0,5000,"",
PG,Phil Pressey,BOS,BOS @ BKN, 7:30 PM,8.8,5000,"",
C,Vitor Faverani,BOS,BOS @ BKN, 7:30 PM,10.5,5000,"",OUT
PF,Mirza Teletovic,BKN,BKN vs BOS, 7:30 PM,14.3,5000,"",
PG,Mustafa Shakur,OKC,OKC @ TOR, 7:00 PM,1.0,5000,"",
SG,Julyan Stone,TOR,TOR vs OKC, 7:00 PM,3.0,5000,"",
C,Kendrick Perkins,OKC,OKC @ TOR, 7:00 PM,11.7,5000,"",OUT
PG,Nando De Colo,TOR,TOR vs OKC, 7:00 PM,7.6,5000,"",
PG,Dwight Buycks,TOR,TOR vs OKC, 7:00 PM,6.7,5000,"",
SF,Landry Fields,TOR,TOR vs OKC, 7:00 PM,6.4,5000,"",
PF,Royce White,SAC,SAC vs SAS,10:00 PM,0,5000,"",
SF,Austin Daye,SAS,SAS @ SAC,10:00 PM,2.9,5000,"",
PF-C,Lavoy Allen,IND,IND vs CHI, 7:00 PM,14.2,5000,"",
SG,Jason Terry,SAC,SAC vs SAS,10:00 PM,8.2,5000,"",OUT
PF,Carl Landry,SAC,SAC vs SAS,10:00 PM,8.5,5000,"",OUT
PF-C,Jeff Ayres,SAS,SAS @ SAC,10:00 PM,8.6,5000,"",
PF-C,DeJuan Blair,DAL,DAL vs DEN, 8:30 PM,15.6,5000,"",
PF,Jan Vesely,DEN,DEN @ DAL, 8:30 PM,9.9,5000,"",
SF,Quincy Miller,DEN,DEN @ DAL, 8:30 PM,8.7,5000,"",
PG,Shane Larkin,DAL,DAL vs DEN, 8:30 PM,6.8,5000,"",
SG,Wayne Ellington,DAL,DAL vs DEN, 8:30 PM,6.1,5000,"",
PG,Gal Mekel,DAL,DAL vs DEN, 8:30 PM,5.8,5000,"",
C,Bernard James,DAL,DAL vs DEN, 8:30 PM,3.5,5000,"",
SG,Ricky Ledo,DAL,DAL vs DEN, 8:30 PM,2.2,5000,"",
SF,Danilo Gallinari,DEN,DEN @ DAL, 8:30 PM,0,5000,"",OUT
SF,Otto Porter,WAS,WAS @ LAL,10:30 PM,4.0,5000,"",
SG,Garrett Temple,WAS,WAS @ LAL,10:30 PM,5.9,5000,"",
SG-SF,Glen Rice,WAS,WAS @ LAL,10:30 PM,6.6,5000,"",
SF,Chris Singleton,WAS,WAS @ LAL,10:30 PM,7.2,5000,"",
SG,MarShon Brooks,LAL,LAL vs WAS,10:30 PM,8.5,5000,"",
C,Kevin Seraphin,WAS,WAS @ LAL,10:30 PM,9.6,5000,"",
SG,Jason Richardson,PHI,PHI vs NYK, 7:00 PM,0,5000,"",OUT
C,Nerlens Noel,PHI,PHI vs NYK, 7:00 PM,0,5000,"",OUT
SG,Shannon Brown,NYK,NYK @ PHI, 7:00 PM,4.1,5000,"",
SG,Darius Johnson-Odom,PHI,PHI vs NYK, 7:00 PM,5.0,5000,"",
SG,Toure' Murry,NYK,NYK @ PHI, 7:00 PM,5.1,5000,"",
SF,Luke Babbitt,NOP,NOP @ ATL, 7:30 PM,10.8,5000,"",
